Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt10618286,2021-10-06,2021-10-06,,"Mank","Mank",https://www.imdb.com/title/tt10618286/,Movie,6.8,131,2020,"Biography, Drama",88586,2020-12-04,"David Fincher",,
2,tt1255953,2021-11-11,2021-11-11,,"Incendies","Incendies",https://www.imdb.com/title/tt1255953/,Movie,8.3,131,2010,"Drama, Mystery, War",241499,2011-04-22,"Denis Villeneuve",,
3,tt0111495,2021-11-12,2021-11-12,,"Three Colors: Red","Trois couleurs: Rouge",https://www.imdb.com/title/tt0111495/,Movie,8.1,99,1994,"Drama, Mystery, Romance",115607,1994-11-23,"Krzysztof Kieslowski",,
4,tt0108394,2021-11-12,2021-11-12,,"Three Colors: Blue","Trois couleurs: Bleu",https://www.imdb.com/title/tt0108394/,Movie,7.8,98,1993,"Drama, Music, Mystery, Romance",117348,1993-09-08,"Krzysztof Kieslowski",,
5,tt0111507,2021-11-12,2021-11-12,,"Three Colors: White","Trois couleurs: Blanc",https://www.imdb.com/title/tt0111507/,Movie,7.6,92,1994,"Comedy, Drama, Romance",84472,1994-06-10,"Krzysztof Kieslowski",,
6,tt5215952,2022-01-04,2022-01-04,,"The Wailing","Gokseong",https://www.imdb.com/title/tt5215952/,Movie,7.4,156,2016,"Drama, Horror",95597,2016-06-03,"Na Hong-jin",,
7,tt0775529,2022-01-24,2022-01-24,,"The Savages","The Savages",https://www.imdb.com/title/tt0775529/,Movie,7.1,114,2007,"Comedy, Drama",39575,2008-01-17,"Tamara Jenkins",,
8,tt1341167,2022-02-03,2022-02-03,,"Four Lions","Four Lions",https://www.imdb.com/title/tt1341167/,Movie,7.3,97,2010,"Comedy, Crime, Drama",89874,2010-05-07,"Christopher Morris",,
9,tt10366460,2022-02-09,2022-02-09,,"CODA","CODA",https://www.imdb.com/title/tt10366460/,Movie,8.0,111,2021,"Comedy, Drama, Music",186596,2021-08-13,"Sian Heder",,
10,tt2554274,2022-02-09,2022-02-09,,"Crimson Peak","Crimson Peak",https://www.imdb.com/title/tt2554274/,Movie,6.5,119,2015,"Drama, Horror, Mystery, Romance, Thriller",167404,2015-10-16,"Guillermo del Toro",,
11,tt0110308,2022-02-10,2022-02-10,,"The Last Seduction","The Last Seduction",https://www.imdb.com/title/tt0110308/,Movie,7.0,110,1994,"Crime, Drama, Romance, Thriller",28034,1994-10-26,"John Dahl",,
12,tt0393109,2022-02-10,2022-02-10,,"Brick","Brick",https://www.imdb.com/title/tt0393109/,Movie,7.1,110,2005,"Crime, Drama, Mystery, Thriller",113229,2006-04-14,"Rian Johnson",,
13,tt0090180,2022-02-10,2022-02-10,,"To Live and Die in L.A.","To Live and Die in L.A.",https://www.imdb.com/title/tt0090180/,Movie,7.3,116,1985,"Action, Crime, Drama, Thriller",45795,1985-11-01,"William Friedkin",,
14,tt10944760,2022-02-17,2022-02-17,,"Titane","Titane",https://www.imdb.com/title/tt10944760/,Movie,6.5,108,2021,"Drama, Horror, Sci-Fi, Thriller",64810,2021-10-01,"Julia Ducournau",,
15,tt2866360,2022-04-08,2022-04-08,,"Coherence","Coherence",https://www.imdb.com/title/tt2866360/,Movie,7.2,89,2013,"Mystery, Sci-Fi, Thriller",167484,2014-08-06,"James Ward Byrkit",,
16,tt0090756,2022-05-10,2022-05-10,,"Blue Velvet","Blue Velvet",https://www.imdb.com/title/tt0090756/,Movie,7.7,120,1986,"Crime, Drama, Mystery, Thriller",238902,1986-10-23,"David Lynch",,
17,tt0062138,2022-05-10,2022-05-10,,"Point Blank","Point Blank",https://www.imdb.com/title/tt0062138/,Movie,7.3,92,1967,"Crime, Drama, Thriller",25585,1967-08-31,"John Boorman",,
18,tt0086979,2022-05-10,2022-05-10,,"Blood Simple","Blood Simple",https://www.imdb.com/title/tt0086979/,Movie,7.5,99,1984,"Crime, Drama, Thriller",112234,1985-01-18,"Joel Coen, Ethan Coen",,
19,tt0087814,2022-08-08,2022-08-08,,"Nothing Left to Do but Cry","Non ci resta che piangere",https://www.imdb.com/title/tt0087814/,Movie,7.6,113,1984,"Comedy, Fantasy",7770,1984-12-20,"Roberto Benigni, Massimo Troisi",,
20,tt0388473,2022-11-26,2022-11-26,,"Tokyo Godfathers","Tôkyô goddofâzâzu",https://www.imdb.com/title/tt0388473/,Movie,7.8,92,2003,"Animation, Adventure, Comedy, Drama",52636,2003-11-08,"Satoshi Kon, Shôgo Furuya",,
21,tt0390384,2023-01-07,2023-01-07,,"Primer","Primer",https://www.imdb.com/title/tt0390384/,Movie,6.7,77,2004,"Drama, Sci-Fi, Thriller",120093,2005-05-25,"Shane Carruth",,
22,tt12477480,2023-01-25,2023-01-25,,"Decision to Leave","Heojil kyolshim",https://www.imdb.com/title/tt12477480/,Movie,7.3,139,2022,"Crime, Drama, Mystery, Romance, Thriller",65580,2022-10-21,"Park Chan-wook",,
23,tt10168670,2023-01-27,2023-01-27,,"Bones and All","Bones and All",https://www.imdb.com/title/tt10168670/,Movie,6.8,131,2022,"Drama, Horror, Romance",70022,2022-11-23,"Luca Guadagnino",,
24,tt23640230,2023-01-29,2023-01-29,,"Smoke Sauna Sisterhood","Savvusanna sõsarad",https://www.imdb.com/title/tt23640230/,Movie,7.1,89,2023,"Documentary",2885,2024-01-23,"Anna Hints",,
25,tt9660502,2023-03-15,2023-03-15,,"Close","Close",https://www.imdb.com/title/tt9660502/,Movie,7.8,104,2022,"Drama",45805,2022-11-01,"Lukas Dhont",,
