Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt10618286,2021-10-06,2021-10-06,,"Mank","Mank",https://www.imdb.com/title/tt10618286/,Movie,6.8,131,2020,"Biography, Drama",104457,2020-12-04,"David Fincher",,
2,tt0111495,2021-11-12,2021-11-12,,"Three Colors: Red","Trois couleurs: Rouge",https://www.imdb.com/title/tt0111495/,Movie,8.1,99,1994,"Drama, Mystery, Romance",116949,1994-11-23,"Krzysztof Kieslowski",,
3,tt0108394,2021-11-12,2021-11-12,,"Three Colors: Blue","Trois couleurs: Bleu",https://www.imdb.com/title/tt0108394/,Movie,7.8,98,1993,"Drama, Music, Mystery, Romance",119015,1993-09-08,"Krzysztof Kieslowski",,
4,tt0111507,2021-11-12,2021-11-12,,"Three Colors: White","Trois couleurs: Blanc",https://www.imdb.com/title/tt0111507/,Movie,7.6,92,1994,"Comedy, Drama, Romance",85653,1994-06-10,"Krzysztof Kieslowski",,
5,tt5215952,2022-01-04,2022-01-04,,"The Wailing","Gokseong",https://www.imdb.com/title/tt5215952/,Movie,7.4,156,2016,"Drama, Horror",98681,2016-06-03,"Na Hong-jin",,
6,tt0775529,2022-01-24,2022-01-24,,"The Savages","The Savages",https://www.imdb.com/title/tt0775529/,Movie,7.1,114,2007,"Comedy, Drama",39825,2008-01-17,"Tamara Jenkins",,
7,tt1341167,2022-02-03,2022-02-03,,"Four Lions","Four Lions",https://www.imdb.com/title/tt1341167/,Movie,7.3,97,2010,"Comedy, Crime, Drama",91068,2010-05-07,"Christopher Morris",,
8,tt10366460,2022-02-09,2022-02-09,,"CODA","CODA",https://www.imdb.com/title/tt10366460/,Movie,8.0,111,2021,"Comedy, Drama, Music",208475,2021-08-13,"Sian Heder",,
9,tt2554274,2022-02-09,2022-02-09,,"Crimson Peak","Crimson Peak",https://www.imdb.com/title/tt2554274/,Movie,6.5,119,2015,"Drama, Horror, Mystery, Romance, Thriller",169466,2015-10-16,"Guillermo del Toro",,
10,tt0110308,2022-02-10,2022-02-10,,"The Last Seduction","The Last Seduction",https://www.imdb.com/title/tt0110308/,Movie,7.0,110,1994,"Crime, Drama, Romance, Thriller",28694,1994-10-26,"John Dahl",,
11,tt0393109,2022-02-10,2022-02-10,,"Brick","Brick",https://www.imdb.com/title/tt0393109/,Movie,7.1,110,2005,"Crime, Drama, Mystery, Thriller",114068,2006-04-14,"Rian Johnson",,
12,tt0090180,2022-02-10,2022-02-10,,"To Live and Die in L.A.","To Live and Die in L.A.",https://www.imdb.com/title/tt0090180/,Movie,7.3,116,1985,"Action, Crime, Drama, Thriller",48028,1985-11-01,"William Friedkin",,
13,tt10944760,2022-02-17,2022-02-17,,"Titane","Titane",https://www.imdb.com/title/tt10944760/,Movie,6.4,108,2021,"Drama, Horror, Sci-Fi, Thriller",66199,2021-10-01,"Julia Ducournau",,
